,Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L,Image_date,Date_compare,B2,B3,B4,B5,B6,B7,B8,B11,B12,BC1,BC2,BC3,BC4,BC5,BC6
1464,Mirs Bay,MM8,2017-01-13,1,Surface Water,0.3,0.05,0.9,87.0,6.7,1.0,1.0,0.03,0.01,0.01,8.1,0.2,30.6,4.0,0.22,6.8,19.4,0.09,0.43,0.47,0.02,3.1,0.0,1.2,2016-12-26,18 days,0.060371992107114934,0.07484062926558036,0.039887460496030244,0.0297084718783224,0.02121694318378573,0.021162086796290416,0.018790723014498814,0.009369958331162984,0.008169846786941146,10.94373010460846,5.155520020172651,0.0015910095048223734,0.660694787497818,0.0024080854502391965,0.0029852026433288812
744,Mirs Bay,MM13,2017-01-13,1,Surface Water,0.9,0.05,0.5,78.0,6.0,1.0,1.0,0.03,0.01,0.01,8.1,0.2,30.6,4.0,0.18,7.1,19.2,0.09,0.76,0.8,0.03,2.4,0.0,1.6,2016-12-26,18 days,0.05814139903761218,0.07543853654294506,0.032828888962641814,0.02267962111769934,0.015982528584244208,0.017678520960821585,0.01569741675338002,0.007264159783594262,0.006096840916830567,9.711475733950325,4.643625986235257,0.0010777359505214656,0.5646387858916935,0.00190871753313842,0.0024765633396725403
1223,Mirs Bay,MM4,2016-12-08,1,Surface Water,0.3,0.01,1.8,95.0,6.9,1.0,1.0,0.1,0.01,0.01,8.2,0.8,31.1,3.0,1.2,3.0,22.0,0.12,0.34,0.45,0.02,8.3,0.0,0.7,2016-12-26,18 days,0.06464808405206408,0.0756274949212294,0.040857672902942614,0.029409640968707705,0.02299269524778742,0.02460709828846622,0.02170950665336691,0.008884282988579009,0.006325261600006256,9.776025155857024,5.194438843071631,0.001669349435043851,0.6320012959709378,0.002641370272001175,0.0030899634499605448
1163,Mirs Bay,MM3,2016-12-08,1,Surface Water,0.2,0.02,1.3,83.0,6.1,1.0,1.0,0.07,0.02,0.01,8.2,0.2,31.1,4.0,1.1,1.5,21.9,0.11,0.46,0.55,0.02,2.8,0.0,0.5,2016-12-26,18 days,0.05358332617011578,0.06222215026349251,0.031165597030099388,0.021610628721047107,0.01595728377890391,0.019086096217855415,0.016246739623464478,0.006540559920778128,0.004999442310092049,10.854657218273942,5.658572475185904,0.0009712944382425398,0.5816286381915743,0.0016699563509502073,0.0019391904614583
683,Mirs Bay,MM1,2016-12-08,1,Surface Water,0.4,0.02,2.2,86.0,6.2,3.0,6.0,0.1,0.05,0.01,8.2,1.1,30.8,2.5,1.2,2.7,22.2,0.16,0.33,0.48,0.03,1.6,0.0,1.0,2016-12-26,18 days,0.04119458933600804,0.051772263999834034,0.03425121849661467,0.027603278409549032,0.024580006953501963,0.027375467409603223,0.022957887086261702,0.010343483466831588,0.007949469124268561,20.183462434402653,13.528559622619541,0.0011731459685028391,0.8314494463639625,0.001410964880225924,0.0017732631263227335
864,Mirs Bay,MM15,2017-01-13,1,Surface Water,0.4,0.05,0.4,77.0,5.9,1.0,1.0,0.02,0.01,0.01,8.0,0.2,30.7,3.0,0.3,8.4,19.5,0.08,0.3,0.33,0.02,3.6,0.0,1.2,2016-12-26,18 days,0.0965270606524152,0.10593458310532351,0.08386883465980761,0.030657677375079774,0.01629703527100444,0.016794446704116905,0.014795774643594698,0.0072652018563135155,0.0059803419605199415,9.001242151762385,1.587959948771359,0.007033981427194147,0.868863447130244,0.008095612090054632,0.008884610035216027
804,Mirs Bay,MM14,2017-01-13,1,Surface Water,0.4,0.04,0.6,80.0,6.1,1.0,1.0,0.04,0.01,0.01,8.0,0.3,30.6,3.5,0.21,8.1,19.3,0.09,0.56,0.6,0.02,3.4,0.0,1.6,2016-12-26,18 days,0.059609365560755224,0.07487417911751253,0.03629767516030951,0.025549891066810018,0.018238679005382345,0.018691288231157805,0.01736045357910415,0.007895359036381337,0.0064520426083340176,10.215269074279075,4.885759315957467,0.00131752122204335,0.6089257085501789,0.002163681387636434,0.0027177586315022995
1403,Mirs Bay,MM7,2016-12-08,1,Surface Water,0.3,0.03,1.3,93.0,6.8,1.0,1.0,0.05,0.03,0.01,8.2,1.0,30.9,2.5,0.83,2.4,21.9,0.1,0.32,0.39,0.02,1.5,0.0,0.7,2016-12-26,18 days,0.06589756368584496,0.07041563190290945,0.049773816114621366,0.041196930307663616,0.0385099334525333,0.04050584283082376,0.03797335342214158,0.026115133798375854,0.019181542612139894,11.462047978456827,8.744605754663574,0.0024774327706121417,0.7553210366305693,0.0032799732173007974,0.0035048547139302807
1343,Mirs Bay,MM6,2016-12-08,1,Surface Water,0.3,0.03,1.3,91.0,6.7,1.0,1.0,0.04,0.02,0.01,8.2,0.5,30.8,3.0,0.91,3.7,21.6,0.09,0.22,0.28,0.02,1.9,0.0,0.9,2016-12-26,18 days,0.26597993660548047,0.28678359446933493,0.2966155818813328,0.1378080444655897,0.02191091234482435,0.024195220379034692,0.021029300112356975,0.009925139121383847,0.007314886522592109,4.192723333330938,0.29725355864808295,0.08798080341480165,1.1151802864036817,0.0788937936649946,0.08506448274754196
983,Mirs Bay,MM17,2016-12-08,1,Surface Water,0.3,0.02,1.6,96.0,7.0,1.0,1.0,0.09,0.02,0.01,8.2,1.0,31.1,3.0,1.1,4.1,21.9,0.12,0.32,0.42,0.02,2.9,0.0,0.8,2016-12-26,18 days,0.0560658834379372,0.061215215972876866,0.03260544571933082,0.024328604680530688,0.021063161325572684,0.020522482388906617,0.01912272787833661,0.008609649581006955,0.004745904860026242,10.37272351351678,6.083485894155596,0.0010631150905562286,0.5815559074427822,0.0018280531191419902,0.0019959494016007495
1283,Mirs Bay,MM5,2016-12-08,1,Surface Water,0.3,0.02,1.4,94.0,6.8,2.0,2.0,0.1,0.02,0.01,8.2,1.0,31.1,2.5,1.2,5.1,22.0,0.13,0.2,0.31,0.02,2.2,0.0,1.0,2016-12-26,18 days,0.05385472162244358,0.06215117692487192,0.03422402842770552,0.024542507665123163,0.02638267874165461,0.02648667429378872,0.02335169882931941,0.01042019622949047,0.0069799305844496255,11.800042113655051,8.051390858134353,0.0011712841218203957,0.6354879831640036,0.0018431255237726762,0.002127063645892172
3492,Southern,ST1,2017-01-14,1,Surface Water,0.6,0.15,1.6,78.0,5.9,150.0,170.0,0.09,0.01,0.02,8.0,0.6,30.5,2.5,0.55,11.0,19.7,0.25,0.41,0.51,0.03,3.8,0.01,2.1,2016-12-26,19 days,0.06416604843833985,0.08243746626321943,0.035703961076385786,0.02113684947841818,0.012123606459520925,0.014608765905762136,0.013708777764217896,0.007575462798176458,0.004324116885698818,8.671731266374504,3.329569974250646,0.0012747728365440712,0.5564307284824526,0.002290982095867971,0.002943344086697853
3522,Southern,ST3,2017-01-14,1,Surface Water,0.4,0.17,1.8,84.0,6.4,6.0,11.0,0.14,0.01,0.02,8.0,0.8,30.2,2.0,0.51,13.0,19.6,0.32,0.45,0.6,0.04,4.5,0.01,2.4,2016-12-26,19 days,0.058227117650623175,0.08064637763695522,0.04122139768293377,0.022975516572903913,0.008671876245305039,0.011554431471115654,0.010684167691987458,0.0037792243173941473,0.0030613817101062344,12.158279660981059,3.151302625475577,0.0016992036269345776,0.707941580249123,0.0024002031726073104,0.0033243564042609876
2502,Port Shelter,PT4,2017-01-16,1,Surface Water,1.2,0.07,2.1,63.0,4.9,10.0,41.0,0.03,0.0,0.01,7.9,1.9,30.3,3.0,0.88,8.0,18.9,0.1,0.33,0.36,0.02,3.3,0.0,1.7,2016-12-26,21 days,0.05223183051069358,0.06069147801680031,0.03464328307994069,0.02670360898462284,0.026558298385244133,0.0314810888466771,0.02847977563465773,0.013811921963867086,0.007871536263699398,12.698386744788634,10.439172424252556,0.0012001570625569048,0.6632599842130378,0.0018094820901654407,0.0021025520534760107
2442,Port Shelter,PT2,2017-01-16,1,Surface Water,0.3,0.08,1.1,67.0,5.2,160.0,510.0,0.03,0.0,0.01,7.7,1.0,30.5,2.0,0.86,7.0,19.0,0.11,0.33,0.37,0.06,3.5,0.0,1.5,2016-12-26,21 days,0.07232131714625441,0.08123255222279714,0.0516989510802346,0.043834920417814754,0.04650577071527143,0.05141120261922282,0.044609973829897454,0.027553367025941456,0.0180804065327608,9.884371904751871,8.529023563971963,0.00267278154279649,0.7148507953150869,0.003738936237202338,0.004199637743488992
3972,Tolo Harbour and Channel,TT1,2017-01-18,1,Surface Water,0.6,0.12,0.2,56.0,4.3,23.0,28.0,0.03,0.0,0.0,7.9,1.1,30.2,4.0,1.6,1.2,19.4,0.15,0.38,0.41,0.02,0.7,0.0,0.5,2016-12-26,23 days,0.03175084199279011,0.04440321004747174,0.028498136820407895,0.02348662465282619,0.02952495438314811,0.03196815982772271,0.02578476515496545,0.036659347181262576,0.022374218483451277,28.26870890470575,25.577181586830687,0.0008121438022346882,0.8975553097734911,0.000904839839273685,0.0012654087551981603
1344,Mirs Bay,MM6,2017-01-19,1,Surface Water,0.3,0.06,0.5,80.0,6.1,1.0,1.0,0.01,0.0,0.0,8.0,0.2,30.7,3.0,0.66,0.8,19.6,0.07,0.35,0.36,0.02,2.9,0.0,0.5,2017-01-25,6 days,0.03260195736391742,0.04332738219339522,0.022011364840613643,0.015563185798295163,0.016450279260274762,0.019559217062882685,0.01715519507253542,0.004580796669937633,0.003450376317318335,20.709023554750836,16.140177649864313,0.0004845001821466025,0.6751547029803483,0.0007176135780553169,0.0009536948170475292
1104,Mirs Bay,MM2,2017-01-19,1,Surface Water,0.5,0.06,0.6,85.0,6.4,1.0,1.0,0.06,0.01,0.0,8.2,3.1,30.6,3.0,0.8,1.9,20.5,0.12,0.44,0.5,0.02,4.8,0.0,0.5,2017-01-25,6 days,0.03985549020677265,0.06251843218067803,0.028715032487117223,0.019774297667165368,0.011783315798265916,0.01470509753372304,0.013918912589268334,0.0032568832055404518,0.0026220425546568354,18.077276535902737,8.762519494559069,0.0008245530907361975,0.7204787179417925,0.001144451696077459,0.0017952188111118044
1284,Mirs Bay,MM5,2017-01-19,1,Surface Water,1.4,0.07,0.4,86.0,6.6,1.0,1.0,0.01,0.0,0.0,8.2,0.2,30.8,3.0,0.65,2.6,19.3,0.08,0.37,0.38,0.02,13.4,0.0,0.5,2017-01-25,6 days,0.050403435832546306,0.05550907022214566,0.03408739662283344,0.025571275615849706,0.02244021970714345,0.023866371463028616,0.020890576888643774,0.007346539398452359,0.005238063964141065,13.417560128129734,8.222997332889188,0.0011619506085223563,0.6762911309475188,0.0017181219083775407,0.001892159692826992
1404,Mirs Bay,MM7,2017-01-19,1,Surface Water,0.7,0.04,1.4,95.0,7.2,1.0,1.0,0.03,0.0,0.0,8.3,2.2,30.7,3.0,0.73,2.0,20.0,0.07,0.34,0.37,0.02,1.1,0.0,0.8,2017-01-25,6 days,0.039727509508109146,0.0583321265873032,0.025822673722219518,0.017851790100047633,0.011905353063404168,0.014206044685499271,0.013964502916031189,0.0036417094765417313,0.00195783572724061,16.361327101117006,8.847952867757892,0.0006668104781642064,0.6499947779749097,0.001025870515824276,0.0015062914723871367
684,Mirs Bay,MM1,2017-01-19,1,Surface Water,0.4,0.07,0.2,99.0,7.5,2.0,6.0,0.18,0.01,0.0,8.2,1.8,30.4,3.0,1.3,2.2,20.3,0.26,0.22,0.41,0.07,1.5,0.0,0.6,2017-01-25,6 days,0.017608016893211318,0.03833855292727309,0.021000030804652955,0.017439358477322576,0.01566851226905505,0.01852617419315123,0.01732616885721856,0.005393683606830519,0.0037549663363993634,67.7328015812177,55.88324932878841,0.00044100129379637303,1.1926403144666116,0.0003697688971662873,0.0008051107924785526
1224,Mirs Bay,MM4,2017-01-19,1,Surface Water,0.3,0.06,0.4,85.0,6.5,1.0,1.0,0.01,0.0,0.0,8.2,0.2,30.8,3.0,0.58,3.6,19.8,0.07,0.35,0.37,0.02,3.7,0.0,0.8,2017-01-25,6 days,0.05705186963535686,0.07113714047405187,0.03385992589633451,0.023101486916956713,0.016363307241522976,0.017460067759915,0.01660560223669834,0.004717327287352968,0.0033448057472761287,10.402703994924524,5.10169943238209,0.0011464945817052645,0.5934937121736399,0.0019317720781005204,0.002408698304928535
1164,Mirs Bay,MM3,2017-01-19,1,Surface Water,0.4,0.07,1.0,92.0,7.0,1.0,1.0,0.03,0.0,0.0,8.2,0.5,30.7,2.5,0.66,3.7,20.1,0.1,0.28,0.31,0.02,1.8,0.0,0.8,2017-01-25,6 days,0.04244143061463717,0.06182982285906487,0.029032458584003048,0.01928577021805044,0.012475335457555723,0.014879577281786545,0.014635555700685553,0.004254789890526762,0.004168719015300742,16.1177266426782,8.125108845494653,0.0008428836514318523,0.6840593769709157,0.0012321790765652926,0.0017950717714120456
984,Mirs Bay,MM17,2017-01-19,1,Surface Water,0.6,0.06,0.3,78.0,6.0,1.0,1.0,0.01,0.0,0.0,8.1,0.2,30.7,5.0,0.73,0.8,19.6,0.07,0.39,0.4,0.03,1.8,0.0,0.5,2017-01-25,6 days,0.040736393986181244,0.04902697229521727,0.026070696146800076,0.01866195764553683,0.015064165418352886,0.01871456464047578,0.016700954004454174,0.005279701447949035,0.003054933598407003,15.710407982068089,10.06412715726171,0.0006796811975787764,0.6399853692411723,0.0010620261497300651,0.001278167297706195
3624,Tolo Harbour and Channel,TM3,2017-01-18,1,Surface Water,1.2,0.15,0.6,65.0,5.0,250.0,1100.0,0.04,0.01,0.01,8.0,1.1,29.9,3.0,1.8,2.2,19.2,0.19,0.32,0.36,0.07,4.4,0.0,0.6,2017-01-25,7 days,0.027709864159212397,0.04239743888269031,0.02140467766261814,0.015620260829059587,0.015370281205652925,0.0183685169614246,0.016851821863048327,0.005507422977182862,0.0036793739811463487,27.876606104622656,21.947146676349703,0.000458160225840584,0.7724569683789648,0.0005931207104028766,0.0009075035130045392
205,Deep Bay,DM4,2017-02-01,1,Surface Water,0.4,0.24,0.6,81.0,6.3,130.0,140.0,0.48,0.04,0.03,7.8,0.3,27.2,1.5,1.8,9.4,19.7,0.76,0.41,0.93,0.06,7.2,0.01,1.1,2017-01-25,7 days,0.028877270538260228,0.049077245102364254,0.016049461479534913,0.008028662795208127,0.0027135423681727403,0.0057869533272753345,0.005568785334102473,0.006196441968061437,0.0057593858427120535,19.246341237756422,6.678027356657169,0.00025758521378307496,0.5557818027943664,0.00046346464113791594,0.0007876633547920886
25,Deep Bay,DM1,2017-02-01,1,Surface Water,4.9,1.2,7.8,54.0,4.5,4500.0,7800.0,1.8,0.34,0.15,7.0,6.2,17.7,1.5,7.1,110.0,19.2,3.34,2.1,4.24,0.38,42.7,0.01,13.0,2017-01-25,7 days,0.049582125679687394,0.08796049463783111,0.061746208655323105,0.052804314190682586,0.018233652346735067,0.021633117625326683,0.017303126632437618,0.00284511613893334,0.0009017300921819672,25.11655160909564,7.038405798942451,0.003812594283306698,1.2453320185225347,0.003061508277792432,0.005431227055332949
3972,Tolo Harbour and Channel,TT1,2017-01-18,1,Surface Water,0.6,0.12,0.2,56.0,4.3,23.0,28.0,0.03,0.0,0.0,7.9,1.1,30.2,4.0,1.6,1.2,19.4,0.15,0.38,0.41,0.02,0.7,0.0,0.5,2017-01-25,7 days,0.029303764433785434,0.045904508647258174,0.030576648216546296,0.03485003519781011,0.03760561072092632,0.04781094219700695,0.03412530544346045,0.056510152613058154,0.03993236592821362,35.60762829851876,39.74016979227324,0.0009349314161584238,1.0434375517055858,0.0008960108965123982,0.0014036060124606206
145,Deep Bay,DM3,2017-02-01,1,Surface Water,1.0,0.28,3.3,80.0,6.3,14.0,20.0,0.76,0.07,0.09,7.6,3.2,25.2,1.5,3.2,12.0,19.7,1.11,0.55,1.38,0.14,9.2,0.0,1.8,2017-01-25,7 days,0.028937066595091446,0.054243007074216025,0.01942788481971789,0.010830601073651922,0.002362930686466763,0.00503167529022948,0.0057510391934684135,0.003815543368441858,0.003554811517634187,23.20152399510873,6.868111226840479,0.00037744270856822484,0.6713840449540733,0.0005621859968299428,0.0010538268937130117
3684,Tolo Harbour and Channel,TM4,2017-01-18,1,Surface Water,1.2,0.08,0.9,74.0,5.7,7.0,77.0,0.01,0.0,0.0,7.9,0.4,29.5,3.0,1.2,1.6,19.2,0.09,0.25,0.26,0.14,0.5,0.0,0.5,2017-01-25,7 days,0.022020304319030265,0.03334601050103304,0.01696923544938946,0.012119662337320427,0.01139272546078016,0.015366793002330664,0.014074808738191294,0.003989428548352837,0.003514621363077035,34.995777155337066,29.026579987930766,0.00028795495173681586,0.7706176628414895,0.0003736677286568322,0.000565856303489843
3804,Tolo Harbour and Channel,TM6,2017-01-18,1,Surface Water,0.7,0.08,0.7,77.0,5.9,1.0,1.0,0.01,0.0,0.0,8.1,0.3,30.3,4.0,1.2,1.5,19.5,0.09,0.21,0.22,0.09,0.5,0.0,0.6,2017-01-25,7 days,0.016373808149603094,0.026471437897056922,0.013457583616098468,0.008870346391475563,0.00899456847522813,0.010703929767851108,0.011902609486202637,0.0035192884957096163,0.0027004205694561466,50.19583602412748,44.39589238843338,0.00018110655678428193,0.8218969889679991,0.00022035189228723816,0.0003562415889380013
3744,Tolo Harbour and Channel,TM5,2017-01-18,1,Surface Water,0.7,0.08,0.3,89.0,6.9,21.0,73.0,0.01,0.0,0.0,8.0,1.9,30.3,3.0,1.3,3.0,19.3,0.09,0.23,0.24,0.02,3.4,0.0,0.6,2017-01-25,7 days,0.026573845081850015,0.04363836346139674,0.01988908494338734,0.012317712533486614,0.014008600437524572,0.01766091039075591,0.016198827048767746,0.004527026794957725,0.003733561149380263,28.16475675835115,22.939015288927646,0.0003955756998852769,0.7484458828644117,0.0005285294621053308,0.0008679271176741301
3924,Tolo Harbour and Channel,TM8,2017-01-18,1,Surface Water,0.7,0.06,0.2,79.0,6.1,1.0,1.0,0.01,0.0,0.0,8.2,0.2,30.6,4.0,0.73,1.7,19.5,0.07,0.28,0.29,0.13,3.9,0.0,0.5,2017-01-25,7 days,0.018187135852059954,0.02783044179977995,0.014370917217123452,0.01044128689488459,0.011829813707970727,0.01416739666999128,0.014101959209538432,0.00474238513771543,0.003639374862760116,43.446607045151865,42.63348477253381,0.00020652326166141526,0.7901693446412421,0.0002613658237465316,0.0003999489752206099
85,Deep Bay,DM2,2017-02-01,1,Surface Water,2.4,0.78,9.0,62.0,5.1,630.0,920.0,1.2,0.2,0.16,7.3,5.0,22.2,1.0,4.9,44.0,19.2,2.18,1.2,2.6,0.26,40.2,0.01,5.4,2017-01-25,7 days,0.03517672585490559,0.06879165440857599,0.031204194562417395,0.021771847610153515,0.0060755136472092856,0.008673687472290883,0.007790183287355532,0.0031254252496422164,0.0031308036194165243,25.21750692703789,6.295595953256483,0.0009737017582891993,0.8870693279165945,0.0010976613976452923,0.0021465881684357836
3864,Tolo Harbour and Channel,TM7,2017-01-18,1,Surface Water,0.8,0.06,0.6,80.0,6.1,1.0,2.0,0.0,0.0,0.0,8.1,0.3,30.4,4.0,0.93,1.6,19.5,0.07,0.18,0.19,0.05,0.8,0.0,0.6,2017-01-25,7 days,0.022020043122196138,0.0322434964572667,0.016718980919557615,0.010492364967188396,0.011068790779236996,0.012899345534171784,0.013105490338350973,0.004548305770804987,0.0032659321368493288,34.48049341143945,27.028188825587275,0.0002795243229885316,0.7592619517944964,0.00036815268080783313,0.0005390784020488656
265,Deep Bay,DM5,2017-02-01,1,Surface Water,0.6,0.21,0.5,80.0,6.2,1000.0,1700.0,0.38,0.04,0.02,7.9,0.4,28.0,2.0,1.5,6.2,19.5,0.63,0.42,0.84,0.05,5.1,0.01,0.8,2017-01-25,7 days,0.039318601982827904,0.05271441834182938,0.021112636800873417,0.010874630471709633,0.004189932977270845,0.006854864792771722,0.006957678783870165,0.004661646564909687,0.004012250317268604,13.656717991925596,4.500577446858168,0.0004457434326855945,0.5369630591162473,0.0008301193631815469,0.0011129403686203436
3564,Tolo Harbour and Channel,TM2,2017-01-18,1,Surface Water,1.1,0.13,0.4,63.0,4.9,10.0,72.0,0.05,0.01,0.0,7.7,0.8,29.9,3.0,2.0,1.5,19.5,0.19,0.32,0.38,0.23,0.9,0.0,0.5,2017-01-25,7 days,0.02123590422398857,0.03689776649696724,0.021236625688574443,0.015774897591322154,0.017038148106657665,0.020142413482293064,0.019169232531444712,0.007989560225895887,0.006204551536605113,47.09165963749436,42.50726961621064,0.0004509942706366199,1.0000339738104986,0.0004509789491632622,0.0007835840558405158
4435,Victoria Harbour,VM6,2017-02-02,1,Surface Water,0.5,0.13,0.6,83.0,6.4,430.0,750.0,0.15,0.03,0.02,7.2,0.2,30.9,3.0,1.2,4.4,18.7,0.31,0.29,0.47,0.04,6.1,0.0,0.8,2017-01-25,8 days,0.038194832410799705,0.0498921826698826,0.023327727070531948,0.014731290359311967,0.011356173300728353,0.013815224822218678,0.013951007270889368,0.007310767731778227,0.006242478719946838,15.990542865358988,9.563048260363768,0.0005441828502772291,0.6107561049000954,0.0008909986259838433,0.0011638712202761453
4015,Victoria Harbour,VM1,2017-02-02,1,Surface Water,0.6,0.06,0.7,92.0,7.2,95.0,150.0,0.09,0.03,0.0,7.1,0.2,31.1,3.0,1.2,2.9,18.4,0.17,0.21,0.33,0.03,4.2,0.0,0.6,2017-01-25,8 days,0.03198966020501558,0.04119136415352212,0.018043494824165653,0.01045055070009301,0.009762751140804798,0.014262004222881588,0.013020276571482301,0.007337349710610514,0.006424850951711946,17.631993022908993,12.723334803036808,0.00032556770546969267,0.5640414655400641,0.0005772052683360165,0.0007432361659043989
4255,Victoria Harbour,VM2,2017-02-02,1,Surface Water,0.6,0.06,0.6,80.0,6.3,120.0,220.0,0.13,0.03,0.0,7.2,0.4,31.0,3.0,1.2,4.3,18.3,0.22,0.36,0.52,0.03,4.6,0.0,1.0,2017-01-25,8 days,0.031154789297888813,0.0401631319941357,0.017204870222607926,0.010680446400805926,0.007948408655175274,0.012776805414287745,0.01179831629600137,0.00678006814051289,0.005446362914036664,17.725633447661124,12.155431994347628,0.0002960075593767809,0.5522383752334927,0.0005360141066828713,0.000691001473692577
4195,Victoria Harbour,VM15,2017-02-02,1,Surface Water,0.5,0.17,1.0,80.0,6.2,850.0,2600.0,0.15,0.03,0.02,7.2,0.2,30.8,2.5,1.2,5.7,18.8,0.35,0.35,0.53,0.04,14.7,0.0,0.9,2017-01-25,8 days,0.039006205219171516,0.05043491042579688,0.022757280156569488,0.015152210209464142,0.010112570507671441,0.014214125557557215,0.013004071296827882,0.006289346614595899,0.005254375134273207,14.957291351414248,8.546965270147574,0.0005178938001245913,0.5834271759762035,0.0008876751400173291,0.001147761386231347
4315,Victoria Harbour,VM4,2017-02-02,1,Surface Water,0.6,0.06,0.7,84.0,6.6,100.0,160.0,0.13,0.03,0.01,7.2,0.3,31.0,3.0,1.2,3.4,18.4,0.22,0.21,0.37,0.03,4.3,0.0,0.8,2017-01-25,8 days,0.03211061080455149,0.041587640472696,0.018606668246676422,0.011274946475153612,0.009673794059423287,0.01222600842602916,0.012413516847511926,0.006899687694167036,0.0054881265691689,18.045606410542717,12.03920208771683,0.00034620810324187667,0.5794554441810567,0.0005974714824384331,0.000773807429437508
4495,Victoria Harbour,VM7,2017-02-02,1,Surface Water,0.5,0.13,0.8,76.0,5.9,200.0,580.0,0.15,0.03,0.01,7.2,0.2,30.9,3.0,1.2,4.9,18.7,0.31,0.34,0.52,0.04,7.9,0.0,0.9,2017-01-25,8 days,0.03494701436797361,0.04636248722344213,0.021124085467641378,0.012284780751988087,0.009248377003844965,0.01270898032439768,0.01251506771785607,0.006425491182933065,0.006982082035202839,17.296481189633756,10.24738484894323,0.00044622698684421765,0.6044603766495161,0.0007382237183479657,0.0009793651426004228
4075,Victoria Harbour,VM12,2017-02-02,1,Surface Water,0.9,0.23,0.6,74.0,5.7,480.0,870.0,0.16,0.03,0.01,7.2,0.4,30.5,2.0,1.1,5.6,19.1,0.42,0.43,0.62,0.04,5.6,0.0,0.9,2017-01-25,8 days,0.06123572421996846,0.08501381758805403,0.0612749296238786,0.04453042204031769,0.02576276353120313,0.027521485501464278,0.024380045052984942,0.009460181443806847,0.0072484934768677145,16.34079208168296,6.501667967606108,0.003754617000411275,1.000640237449782,0.0037522146920458055,0.005209215689765264
4375,Victoria Harbour,VM5,2017-02-02,1,Surface Water,0.7,0.09,1.0,80.0,6.2,260.0,610.0,0.15,0.03,0.01,7.2,0.5,30.9,3.0,1.2,4.3,18.6,0.27,0.33,0.51,0.04,4.7,0.0,0.9,2017-01-25,8 days,0.032662576270113645,0.042239156092441554,0.018323098253873717,0.010301752750820143,0.009138169229395046,0.011474360554493674,0.01207042217298213,0.006589129549997304,0.005700227642057911,17.17505105447224,11.314140992840775,0.00033573592962111005,0.5609814150097954,0.0005984795942219365,0.0007739522072425152
4555,Victoria Harbour,VM8,2017-02-02,1,Surface Water,0.8,0.26,0.6,83.0,6.4,300.0,1000.0,0.14,0.03,0.02,7.1,0.4,30.6,3.0,1.1,6.4,18.9,0.43,0.57,0.74,0.05,8.0,0.0,1.2,2017-01-25,8 days,0.03853180725020533,0.05260147478095136,0.022173503081534984,0.012299967339899144,0.00818486104688745,0.01066348897963523,0.011049347395194522,0.005376994939119756,0.0054481912787247115,14.93466730190257,7.442140587510198,0.0004916642389068414,0.5754597218228539,0.0008543851467995399,0.0011663589631487098
2442,Port Shelter,PT2,2017-01-16,1,Surface Water,0.3,0.08,1.1,67.0,5.2,160.0,510.0,0.03,0.0,0.01,7.7,1.0,30.5,2.0,0.86,7.0,19.0,0.11,0.33,0.37,0.06,3.5,0.0,1.5,2017-01-25,9 days,0.03783030892872914,0.05409034355277542,0.03133609871800219,0.02727274520090421,0.030409839293518055,0.035078710333537294,0.03191273219530679,0.019434895696325005,0.014247728154305186,21.896018484883417,22.298939645927966,0.0009819510828643786,0.8283331435923034,0.0011854542951231762,0.001694980345260424
3145,Southern,SM3,2017-02-03,1,Surface Water,0.4,0.1,1.1,92.0,7.1,2.0,4.0,0.17,0.03,0.02,7.6,0.8,31.1,2.5,1.1,2.6,18.5,0.3,0.26,0.46,0.04,4.4,0.0,0.6,2017-01-25,9 days,0.041949185294961756,0.060256138144700384,0.025604331860871982,0.01523147501092728,0.009224743216444677,0.012375328804920446,0.012277157544097143,0.006802052121696517,0.005633297427583811,14.550113666781295,6.976711547961921,0.0006555818100416641,0.610365414270564,0.0010740808615854118,0.0015428181577114557
2394,Port Shelter,PM9,2017-01-16,1,Surface Water,0.1,0.06,1.2,78.0,6.1,1.0,1.0,0.03,0.01,0.01,7.9,0.2,30.8,4.0,0.51,7.8,19.0,0.1,0.23,0.27,0.02,2.6,0.0,2.2,2017-01-25,9 days,0.028097260363882756,0.041176866382103106,0.019924646452083944,0.01335202440173928,0.01254682275290729,0.015686960717110107,0.014526966288910731,0.007690064022107444,0.006768838204449748,25.238449569907722,18.401235222323148,0.0003969915362405413,0.7091312887464221,0.0005598279790225153,0.0008204345046681053
