Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L
Deep Bay,DM1,19/1/2015,1,Surface Water,7.10,1.30,56.00,51.00,4.40,6700.00,12000.00,1.30,0.23,0.16,6.80,12.00,20.40,0.20,5.10,75.00,17.20,2.83,2.50,4.03,0.26,30.90,0.00,15.00
Deep Bay,DM1,7/2/2015,1,Surface Water,3.60,0.81,18.00,73.00,6.40,880.00,1200.00,1.50,0.17,0.15,7.30,11.00,20.90,1.50,7.00,47.00,15.80,2.48,1.70,3.37,0.27,36.40,0.00,8.00
Deep Bay,DM1,5/3/2015,1,Surface Water,3.80,1.10,4.10,83.00,6.90,4700.00,7500.00,2.20,0.13,0.20,7.30,8.70,20.50,0.70,6.40,150.00,18.60,3.43,1.90,4.23,0.48,81.30,0.01,17.00
Deep Bay,DM1,25/4/2015,1,Surface Water,2.70,3.00,8.40,62.00,4.60,2900.00,5000.00,0.85,0.28,0.28,7.30,8.10,20.10,1.30,7.10,13.00,24.70,4.13,4.00,5.13,0.37,21.00,0.03,3.00
Deep Bay,DM1,9/5/2015,1,Surface Water,2.50,0.63,4.90,74.00,5.20,170.00,490.00,1.10,0.18,0.18,7.40,7.20,17.00,0.50,6.10,56.00,28.60,1.91,1.00,2.28,0.23,41.40,0.01,6.90
Deep Bay,DM1,13/6/2015,1,Surface Water,5.70,1.80,50.00,82.00,5.90,560.00,1100.00,0.52,0.89,0.29,7.70,37.00,4.30,1.00,14.00,68.00,31.10,3.21,3.50,4.91,0.58,44.50,0.07,18.00
Deep Bay,DM1,18/7/2015,1,Surface Water,1.60,1.30,4.50,55.00,3.70,1500.00,2800.00,0.50,0.35,0.31,6.80,1.50,14.70,1.20,11.00,22.00,31.70,2.15,2.10,2.95,0.43,13.10,0.01,3.70
Deep Bay,DM1,3/8/2015,1,Surface Water,2.00,0.44,5.30,49.00,3.40,90.00,170.00,1.20,0.64,0.16,6.90,2.90,9.20,1.00,9.30,15.00,31.00,2.28,0.88,2.72,0.23,16.50,0.00,2.60
Deep Bay,DM1,12/9/2015,1,Surface Water,3.40,1.10,6.80,64.00,4.50,230.00,830.00,0.83,0.63,0.26,7.20,4.30,14.80,0.60,9.10,16.00,29.60,2.56,1.60,3.06,0.35,12.90,0.01,2.80
Deep Bay,DM1,10/10/2015,1,Surface Water,2.20,1.30,7.40,45.00,3.40,800.00,2500.00,0.87,0.63,0.28,7.20,3.40,8.60,1.10,13.00,16.00,27.10,2.80,3.10,4.60,0.43,10.50,0.01,3.60
