Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L
Deep Bay,DM1,7/11/2015,1,Surface Water,2.50,1.60,8.40,41.00,3.00,32000.00,47000.00,0.86,0.52,0.31,7.10,4.60,15.30,1.00,8.20,17.00,26.80,2.98,3.10,4.48,0.45,10.40,0.01,5.00
Deep Bay,DM1,5/12/2015,1,Surface Water,3.60,1.70,8.50,39.00,3.10,180000.00,200000.00,1.10,0.53,0.25,7.30,3.40,16.80,0.80,8.60,34.00,22.20,3.33,3.20,4.83,0.36,15.30,0.02,6.40
Deep Bay,DM1,11/1/2016,1,Surface Water,2.80,1.60,20.00,68.00,5.60,8100.00,11000.00,0.66,0.31,0.20,7.80,6.40,18.60,1.50,3.00,25.00,19.40,2.57,3.10,4.07,0.33,15.10,0.03,4.70
Deep Bay,DM1,3/2/2016,1,Surface Water,6.00,2.60,1.70,41.00,3.60,360000.00,560000.00,1.10,0.67,0.22,7.00,2.00,20.60,1.00,8.70,15.00,15.30,4.37,5.20,6.97,0.44,11.90,0.01,6.60
Deep Bay,DM1,16/3/2016,1,Surface Water,3.50,1.40,9.90,52.00,4.70,6800.00,8400.00,1.40,0.32,0.18,7.20,3.90,16.00,1.00,7.80,26.00,15.80,3.12,2.50,4.22,0.26,20.00,0.01,4.80
Deep Bay,DM1,13/4/2016,1,Surface Water,5.00,3.60,2.00,24.00,2.00,210000.00,250000.00,0.34,0.10,0.20,7.00,5.10,5.00,1.20,11.00,66.00,22.50,4.04,4.80,5.24,0.34,36.00,0.02,9.10
Deep Bay,DM1,12/5/2016,1,Surface Water,1.30,1.30,1.10,48.00,3.60,1600.00,4800.00,0.63,0.17,0.33,6.90,2.90,7.60,1.50,10.00,23.00,27.40,2.10,2.10,2.90,0.33,16.70,0.01,3.80
Deep Bay,DM1,3/6/2016,1,Surface Water,6.10,1.90,3.60,47.00,3.40,6100.00,12000.00,0.38,0.76,0.41,7.10,5.80,4.00,1.20,14.00,150.00,31.40,3.04,4.20,5.34,0.47,64.80,0.02,17.00
Deep Bay,DM1,13/7/2016,1,Surface Water,11.00,2.40,3.70,24.00,1.90,550000.00,1100000.00,0.05,0.35,0.19,6.60,9.10,0.20,1.00,14.00,86.00,28.00,2.80,6.20,6.60,0.79,108.20,0.01,13.00
Deep Bay,DM1,3/8/2016,1,Surface Water,1.60,1.80,4.80,76.00,5.90,8600.00,17000.00,0.47,0.26,0.19,7.00,4.70,4.80,1.50,8.00,29.00,27.50,2.53,3.10,3.83,0.29,25.30,0.01,3.70
Deep Bay,DM1,1/9/2016,1,Surface Water,1.90,0.73,4.10,83.00,5.80,530.00,1100.00,0.57,0.25,0.24,7.10,3.40,15.30,1.40,8.40,25.00,29.60,1.55,1.40,2.22,0.43,28.50,0.01,3.40
Deep Bay,DM1,8/10/2016,1,Surface Water,5.00,2.80,16.00,94.00,7.00,58000.00,95000.00,1.10,0.58,0.34,6.80,5.50,6.60,1.70,21.00,21.00,29.30,4.48,5.10,6.78,0.47,17.80,0.01,5.40
Deep Bay,DM1,2/11/2016,1,Surface Water,4.30,1.60,3.70,91.00,7.00,1800.00,2300.00,1.00,0.47,0.20,7.00,6.20,14.90,1.70,8.40,95.00,24.70,3.07,2.10,3.57,0.37,68.30,0.01,12.00
Deep Bay,DM1,3/12/2016,1,Surface Water,2.70,1.80,3.70,48.00,3.90,3500.00,7800.00,1.30,0.42,0.23,7.30,2.40,15.90,1.00,10.00,29.00,21.00,3.52,3.00,4.72,0.29,21.90,0.02,4.10
Deep Bay,DM1,7/1/2017,1,Surface Water,8.00,5.20,29.00,22.00,1.80,240000.00,310000.00,0.10,0.40,0.41,7.10,7.90,6.80,1.00,12.00,22.00,23.10,5.70,9.00,9.50,0.75,16.90,0.03,6.80
Deep Bay,DM1,1/2/2017,1,Surface Water,4.90,1.20,7.80,54.00,4.50,4500.00,7800.00,1.80,0.34,0.15,7.00,6.20,17.70,1.50,7.10,110.00,19.20,3.34,2.10,4.24,0.38,42.70,0.01,13.00
Deep Bay,DM1,6/3/2017,1,Surface Water,4.90,2.00,42.00,87.00,7.10,9700.00,22000.00,1.30,0.50,0.22,7.20,9.50,17.10,1.50,7.10,30.00,20.50,3.80,3.50,5.30,0.35,15.50,0.01,9.80
Deep Bay,DM1,8/4/2017,1,Surface Water,3.70,1.50,17.00,53.00,4.00,1100.00,1500.00,1.30,0.34,0.23,7.10,7.50,16.30,1.70,7.00,22.00,24.00,3.14,2.70,4.34,0.26,17.30,0.01,4.00
Deep Bay,DM1,10/5/2017,1,Surface Water,6.60,1.40,82.00,115.00,8.50,10000.00,16000.00,0.65,0.25,0.20,7.90,15.00,10.30,0.30,3.40,58.00,27.90,2.30,3.50,4.40,0.41,31.00,0.07,10.00
Deep Bay,DM1,7/6/2017,1,Surface Water,3.40,1.60,4.10,58.00,4.10,3100.00,8000.00,0.87,0.41,0.33,7.20,3.70,9.00,1.00,11.00,26.00,31.30,2.88,2.70,3.98,0.44,18.00,0.02,6.60
Deep Bay,DM1,10/7/2017,1,Surface Water,1.80,2.10,8.80,68.00,5.00,2600.00,6000.00,0.52,0.42,0.23,7.00,7.30,3.20,1.00,12.00,22.00,30.10,3.04,2.90,3.84,0.35,17.90,0.02,4.50
Deep Bay,DM1,11/8/2017,1,Surface Water,4.80,1.10,19.00,65.00,4.60,780.00,1400.00,0.63,0.63,0.16,7.20,5.40,8.20,1.50,4.20,45.00,31.10,2.36,1.70,2.96,0.29,21.00,0.02,6.40
Deep Bay,DM1,8/9/2017,1,Surface Water,3.00,1.30,1.30,31.00,2.30,3000.00,8200.00,0.56,0.50,0.22,6.80,3.60,8.70,1.50,9.80,36.00,29.60,2.36,1.70,2.76,0.41,19.20,0.01,4.00
Deep Bay,DM1,6/10/2017,1,Surface Water,1.80,0.88,5.60,60.00,4.20,670.00,1900.00,0.68,0.46,0.27,7.20,3.40,13.40,1.50,7.80,24.00,30.20,2.02,1.40,2.54,0.32,16.20,0.01,3.20
Deep Bay,DM1,6/11/2017,1,Surface Water,2.00,0.58,11.00,97.00,7.30,330.00,880.00,1.10,0.31,0.19,7.40,9.50,22.90,1.50,3.20,60.00,22.90,1.99,0.78,2.19,0.21,28.00,0.01,6.30
Deep Bay,DM1,4/12/2017,1,Surface Water,3.50,1.30,7.20,60.00,4.60,3200.00,5800.00,1.40,0.40,0.20,7.20,6.80,21.70,1.00,6.00,69.00,22.20,3.10,1.60,3.40,0.35,48.10,0.01,8.00
Deep Bay,DM1,3/1/2018,1,Surface Water,2.20,0.57,6.90,72.00,5.80,490.00,790.00,1.90,0.22,0.13,7.30,8.60,23.30,1.80,4.70,98.00,19.10,2.69,0.93,3.05,0.28,54.10,0.00,14.00
Deep Bay,DM1,22/2/2018,1,Surface Water,2.30,0.51,2.50,65.00,5.30,190.00,340.00,2.10,0.13,0.12,7.00,6.40,22.00,1.10,5.80,49.00,18.80,2.74,0.89,3.12,0.24,25.70,0.00,7.00
Deep Bay,DM1,1/3/2018,1,Surface Water,2.40,0.64,5.70,60.00,4.70,1600.00,2500.00,2.40,0.15,0.14,6.90,4.40,18.60,1.00,5.70,28.00,22.10,3.19,1.10,3.65,0.24,24.20,0.00,3.30
Deep Bay,DM1,11/4/2018,1,Surface Water,3.30,0.45,7.30,112.00,8.50,390.00,770.00,1.90,0.09,0.10,7.10,6.70,16.60,1.00,3.80,26.00,24.40,2.44,0.86,2.85,0.18,33.70,0.00,19.00
Deep Bay,DM1,9/5/2018,1,Surface Water,4.00,0.02,9.00,20.00,1.50,200000.00,600000.00,1.20,0.32,0.19,6.90,4.40,7.00,1.50,5.50,34.00,26.70,1.54,4.00,5.52,0.36,29.90,0.00,9.00
Deep Bay,DM1,15/6/2018,1,Surface Water,1.90,1.30,4.60,42.00,3.10,3500.00,7500.00,0.57,0.59,0.24,6.90,3.70,8.30,1.00,9.00,21.00,28.90,2.46,1.80,2.96,0.26,14.90,0.01,3.00
Deep Bay,DM1,4/7/2018,1,Surface Water,4.00,1.90,3.70,55.00,4.10,8700.00,17000.00,1.10,1.00,0.32,7.20,7.80,3.20,1.20,18.00,59.00,29.60,4.00,2.70,4.80,0.34,43.50,0.03,9.00
Deep Bay,DM1,1/8/2018,1,Surface Water,2.40,0.40,2.20,49.00,3.40,210.00,360.00,0.79,0.95,0.21,7.10,3.10,10.50,1.50,11.00,28.00,31.60,2.14,0.83,2.57,0.33,22.10,0.01,4.30
Deep Bay,DM1,10/9/2018,1,Surface Water,1.90,1.00,2.60,58.00,4.30,1100.00,1800.00,1.00,0.61,0.10,7.10,3.50,9.10,1.20,11.00,22.00,28.80,2.61,1.60,3.21,0.21,13.40,0.01,3.40
Deep Bay,DM1,8/10/2018,1,Surface Water,2.00,0.46,5.60,50.00,3.50,480.00,980.00,1.60,0.42,0.16,7.50,4.40,15.70,1.00,9.00,28.00,28.70,2.48,1.40,3.42,0.23,12.90,0.01,5.70
Deep Bay,DM1,7/11/2018,1,Surface Water,0.80,0.43,1.90,66.00,4.80,49.00,110.00,1.60,0.14,0.16,7.50,2.50,21.50,1.00,5.70,29.00,25.80,2.17,0.59,2.33,0.20,12.80,0.01,5.90
Deep Bay,DM1,8/12/2018,1,Surface Water,1.60,0.47,1.60,60.00,4.80,440.00,880.00,2.00,0.18,0.22,7.40,3.80,18.00,1.00,8.60,57.00,20.80,2.65,1.00,3.18,0.30,38.20,0.00,6.10
Deep Bay,DM1,9/1/2019,1,Surface Water,1.50,0.59,4.50,73.00,6.10,490.00,950.00,2.70,0.13,0.14,7.30,4.20,19.40,1.00,6.40,36.00,18.90,3.42,1.20,4.03,0.22,21.90,0.00,6.40
Deep Bay,DM1,23/2/2019,1,Surface Water,3.80,0.51,5.00,63.00,5.10,640.00,1000.00,1.80,0.16,0.13,7.30,16.00,16.60,0.90,4.80,360.00,21.30,2.47,1.70,3.66,0.74,134.40,0.00,41.00
Deep Bay,DM1,8/3/2019,1,Surface Water,1.30,0.69,1.10,72.00,5.90,6800.00,13000.00,1.60,0.11,0.17,7.40,2.40,15.90,1.30,5.10,42.00,20.10,2.40,1.10,2.81,0.22,20.20,0.01,7.20
Deep Bay,DM1,24/4/2019,1,Surface Water,3.20,1.10,6.10,56.00,4.20,2600.00,3400.00,1.00,0.28,0.17,7.50,5.20,9.10,0.70,3.70,53.00,27.90,2.38,2.00,3.28,0.29,27.90,0.03,14.00
Deep Bay,DM1,23/5/2019,1,Surface Water,1.90,0.28,9.90,74.00,5.40,1100.00,2200.00,1.10,0.13,0.14,7.70,7.60,12.40,1.00,1.60,66.00,28.30,1.51,0.91,2.14,0.27,42.70,0.01,9.40
Deep Bay,DM1,24/6/2019,1,Surface Water,2.60,0.58,2.30,62.00,4.60,240.00,490.00,1.30,0.67,0.23,7.50,8.50,4.70,1.00,13.00,40.00,29.90,2.55,1.10,3.07,0.31,28.30,0.02,6.50
Deep Bay,DM1,19/7/2019,1,Surface Water,2.00,0.06,6.40,74.00,5.20,88.00,250.00,1.30,0.54,0.19,7.80,8.10,4.60,1.00,11.00,25.00,32.60,1.90,0.65,2.49,0.28,17.40,0.00,5.40
Deep Bay,DM1,2/8/2019,1,Surface Water,1.60,0.93,1.20,55.00,4.30,59000.00,130000.00,0.77,0.12,0.11,7.30,2.80,4.30,0.90,7.30,21.00,26.90,1.82,1.60,2.49,0.17,27.60,0.01,3.20
Deep Bay,DM1,16/9/2019,1,Surface Water,1.10,0.25,5.10,86.00,5.90,580.00,1700.00,0.98,0.15,0.15,7.30,4.90,13.00,1.30,7.70,17.00,31.40,1.38,0.55,1.68,0.21,14.00,0.01,2.90
Deep Bay,DM1,16/10/2019,1,Surface Water,0.60,0.31,4.00,77.00,5.40,78.00,290.00,1.20,0.13,0.16,7.50,0.20,19.60,1.00,6.50,21.00,27.80,1.64,0.68,2.01,0.21,16.10,0.01,2.80
Deep Bay,DM1,14/11/2019,1,Surface Water,1.00,0.18,3.50,78.00,5.90,100.00,390.00,1.50,0.09,0.14,7.70,7.30,21.70,0.80,5.10,52.00,23.40,1.77,0.55,2.14,0.30,40.60,0.00,7.30
Deep Bay,DM1,14/12/2019,1,Surface Water,2.20,0.48,3.40,95.00,7.70,1100.00,3100.00,2.10,0.10,0.12,7.80,6.80,19.60,1.20,5.20,98.00,19.70,2.68,0.98,3.18,0.15,46.10,0.01,11.00
Deep Bay,DM2,19/1/2015,1,Surface Water,3.90,0.48,23.00,51.00,4.30,3000.00,4600.00,1.10,0.12,0.12,7.60,5.60,24.80,0.70,3.90,36.00,16.60,1.70,1.30,2.52,0.18,17.40,0.01,6.50
Deep Bay,DM2,7/2/2015,1,Surface Water,2.90,0.48,14.00,71.00,6.10,160.00,230.00,1.30,0.09,0.12,7.50,8.10,22.30,2.00,6.00,44.00,16.00,1.87,1.20,2.59,0.21,18.50,0.00,6.80
Deep Bay,DM2,5/3/2015,1,Surface Water,1.20,0.28,2.30,87.00,7.00,90.00,240.00,1.10,0.05,0.11,7.50,4.00,24.30,0.80,2.60,47.00,19.00,1.43,0.66,1.81,0.19,24.40,0.00,5.70
Deep Bay,DM2,25/4/2015,1,Surface Water,2.30,1.00,9.80,92.00,6.80,190.00,430.00,0.82,0.16,0.17,7.40,8.50,20.60,1.20,3.80,16.00,24.80,1.98,1.50,2.48,0.26,14.30,0.01,3.20
Deep Bay,DM2,9/5/2015,1,Surface Water,1.30,0.37,5.00,64.00,4.50,16.00,62.00,1.50,0.17,0.10,7.60,3.10,16.20,1.00,5.30,18.00,28.80,2.04,0.79,2.46,0.14,14.00,0.01,2.80
Deep Bay,DM2,13/6/2015,1,Surface Water,5.70,1.70,52.00,88.00,6.40,370.00,910.00,0.47,1.00,0.27,7.70,31.00,4.20,1.00,16.00,59.00,31.20,3.17,3.20,4.67,0.56,41.00,0.08,4.30
Deep Bay,DM2,18/7/2015,1,Surface Water,1.40,0.94,2.90,57.00,3.90,630.00,1400.00,0.61,0.42,0.26,7.30,0.60,16.20,1.00,11.00,21.00,31.30,1.97,1.40,2.43,0.34,14.30,0.02,3.60
Deep Bay,DM2,3/8/2015,1,Surface Water,2.20,0.62,2.10,41.00,2.90,80.00,350.00,1.00,0.65,0.16,7.30,4.60,9.60,1.10,10.00,40.00,30.20,2.27,1.00,2.65,0.22,25.20,0.01,6.00
Deep Bay,DM2,12/9/2015,1,Surface Water,4.20,0.59,9.20,70.00,4.90,35.00,120.00,0.82,0.46,0.20,7.50,5.40,15.70,0.70,7.00,14.00,29.20,1.87,1.10,2.38,0.30,12.70,0.02,2.90
Deep Bay,DM2,10/10/2015,1,Surface Water,2.30,1.40,9.80,43.00,3.20,530.00,1100.00,0.57,0.39,0.30,7.50,4.90,8.90,0.80,8.70,17.00,27.30,2.36,2.90,3.86,0.39,12.80,0.03,3.60
Deep Bay,DM2,7/11/2015,1,Surface Water,2.80,1.80,11.00,67.00,4.80,4000.00,7400.00,0.79,0.49,0.35,7.50,6.80,19.90,0.80,8.40,27.00,26.40,3.08,3.00,4.28,0.46,18.30,0.03,5.20
Deep Bay,DM2,5/12/2015,1,Surface Water,3.00,1.30,10.00,75.00,6.10,12000.00,20000.00,1.20,0.38,0.24,7.60,4.40,16.30,0.70,5.60,61.00,21.00,2.88,2.00,3.58,0.33,27.10,0.02,8.50
Deep Bay,DM2,11/1/2016,1,Surface Water,3.20,0.77,21.00,85.00,7.00,2800.00,3800.00,0.72,0.28,0.17,8.00,7.00,20.30,1.50,1.90,19.00,19.50,1.77,1.70,2.70,0.26,11.80,0.03,5.40
Deep Bay,DM2,3/2/2016,1,Surface Water,1.90,0.51,3.80,38.00,3.40,12000.00,15000.00,0.75,0.14,0.11,7.10,2.70,21.60,0.90,4.10,29.00,14.80,1.40,1.10,1.99,0.22,17.00,0.00,5.60
Deep Bay,DM2,16/3/2016,1,Surface Water,2.20,1.00,11.00,64.00,5.70,980.00,1300.00,1.30,0.18,0.14,7.40,4.10,17.50,1.00,6.70,19.00,15.70,2.48,1.40,2.88,0.20,13.80,0.01,3.70
Deep Bay,DM2,13/4/2016,1,Surface Water,5.40,2.00,1.30,34.00,2.80,29000.00,45000.00,0.71,0.15,0.17,7.00,7.10,8.90,1.00,7.90,78.00,22.60,2.86,2.90,3.76,0.29,47.50,0.01,9.20
Deep Bay,DM2,12/5/2016,1,Surface Water,1.30,1.20,1.40,45.00,3.40,3200.00,5700.00,0.68,0.16,0.30,6.90,2.40,8.40,1.00,10.00,26.00,27.30,2.04,2.00,2.84,0.33,17.30,0.01,3.30
Deep Bay,DM2,3/6/2016,1,Surface Water,4.40,1.10,2.60,59.00,4.20,1200.00,3200.00,0.58,1.00,0.33,7.20,7.80,5.60,1.10,14.00,110.00,31.50,2.68,2.70,4.28,0.41,63.60,0.02,14.00
Deep Bay,DM2,13/7/2016,1,Surface Water,11.00,2.60,4.80,46.00,3.60,690000.00,1300000.00,0.01,0.00,0.32,6.70,7.60,0.30,1.00,14.00,110.00,28.00,2.61,7.10,7.11,0.86,84.70,0.01,17.00
Deep Bay,DM2,3/8/2016,1,Surface Water,1.50,1.70,2.80,76.00,5.90,9500.00,37000.00,0.44,0.26,0.15,7.20,5.40,2.70,1.50,9.40,27.00,27.20,2.40,3.60,4.30,0.30,40.30,0.02,4.10
Deep Bay,DM2,1/9/2016,1,Surface Water,2.00,0.74,5.40,90.00,6.30,750.00,2300.00,0.59,0.26,0.21,7.30,4.00,12.10,1.40,8.60,12.00,30.60,1.59,1.60,2.45,0.39,24.50,0.01,2.00
Deep Bay,DM2,8/10/2016,1,Surface Water,4.60,1.70,19.00,53.00,3.90,7000.00,13000.00,0.84,0.48,0.27,7.00,7.00,10.20,1.30,15.00,41.00,29.20,3.02,2.90,4.22,0.38,19.70,0.01,7.40
Deep Bay,DM2,2/11/2016,1,Surface Water,2.80,0.97,4.90,100.00,7.40,900.00,2400.00,0.95,0.36,0.17,7.10,3.60,17.90,1.50,6.30,87.00,25.20,2.28,1.20,2.51,0.36,52.60,0.01,10.00
Deep Bay,DM2,3/12/2016,1,Surface Water,1.50,1.60,2.10,62.00,4.90,600.00,1600.00,0.96,0.33,0.20,7.60,0.30,19.70,1.00,7.80,13.00,21.00,2.89,1.90,3.19,0.27,9.10,0.02,2.30
Deep Bay,DM2,7/1/2017,1,Surface Water,4.60,2.70,22.00,52.00,4.20,15000.00,24000.00,0.48,0.38,0.23,7.30,7.70,13.10,1.00,6.60,31.00,22.50,3.56,4.80,5.66,0.44,17.50,0.02,6.20
Deep Bay,DM2,1/2/2017,1,Surface Water,2.40,0.78,9.00,62.00,5.10,630.00,920.00,1.20,0.20,0.16,7.30,5.00,22.20,1.00,4.90,44.00,19.20,2.18,1.20,2.60,0.26,40.20,0.01,5.40
Deep Bay,DM2,6/3/2017,1,Surface Water,3.00,0.81,20.00,85.00,6.80,620.00,970.00,1.10,0.24,0.13,7.60,6.10,17.90,1.50,4.60,34.00,20.70,2.15,1.30,2.64,0.26,13.40,0.01,5.20
Deep Bay,DM2,8/4/2017,1,Surface Water,5.30,1.40,25.00,74.00,5.60,700.00,1200.00,1.40,0.25,0.19,7.20,8.10,16.90,1.50,6.60,31.00,24.30,3.05,1.90,3.55,0.24,18.40,0.01,6.70
Deep Bay,DM2,10/5/2017,1,Surface Water,5.80,0.55,100.00,105.00,7.60,1300.00,4400.00,0.73,0.20,0.13,8.00,24.00,14.50,0.30,1.40,40.00,27.60,1.48,1.70,2.63,0.28,22.70,0.04,8.70
Deep Bay,DM2,7/6/2017,1,Surface Water,3.90,1.30,7.00,70.00,4.90,230.00,630.00,0.81,0.47,0.34,7.50,5.70,10.80,1.00,10.00,25.00,31.90,2.58,2.40,3.68,0.44,14.60,0.04,6.00
Deep Bay,DM2,10/7/2017,1,Surface Water,2.00,2.00,10.00,89.00,6.60,4000.00,7200.00,0.53,0.39,0.23,7.20,7.10,3.30,1.00,11.00,19.00,30.40,2.92,2.80,3.72,0.33,16.70,0.03,4.00
Deep Bay,DM2,11/8/2017,1,Surface Water,2.60,0.88,12.00,57.00,4.10,490.00,850.00,0.65,0.70,0.18,7.30,5.40,8.70,1.50,5.90,32.00,30.90,2.23,1.50,2.85,0.27,18.20,0.02,4.50
Deep Bay,DM2,8/9/2017,1,Surface Water,2.70,1.20,2.90,35.00,2.60,1800.00,4700.00,0.54,0.51,0.21,6.90,1.00,9.60,1.00,9.80,24.00,29.30,2.25,1.40,2.45,0.26,15.70,0.01,2.80
Deep Bay,DM2,6/10/2017,1,Surface Water,1.60,0.57,4.60,71.00,4.90,100.00,320.00,0.67,0.41,0.24,7.20,2.90,14.40,1.50,7.30,11.00,30.10,1.65,0.98,2.06,0.27,13.50,0.01,2.10
Deep Bay,DM2,6/11/2017,1,Surface Water,1.00,0.37,13.00,82.00,6.00,14.00,22.00,0.82,0.16,0.15,7.50,4.50,25.00,1.50,2.00,21.00,23.30,1.35,0.58,1.56,0.19,17.30,0.01,3.00
Deep Bay,DM2,4/12/2017,1,Surface Water,1.90,0.66,5.60,74.00,5.60,210.00,350.00,1.10,0.19,0.17,7.40,3.50,25.50,1.00,3.90,32.00,22.10,1.95,0.82,2.11,0.23,18.00,0.01,4.00
Deep Bay,DM2,3/1/2018,1,Surface Water,2.30,0.31,15.00,89.00,7.10,250.00,430.00,1.50,0.12,0.10,7.60,5.50,25.30,1.60,3.00,44.00,19.40,1.93,0.58,2.20,0.18,22.60,0.00,6.80
Deep Bay,DM2,22/2/2018,1,Surface Water,2.10,0.36,3.00,64.00,5.20,150.00,180.00,1.80,0.09,0.11,7.00,5.30,23.40,1.10,4.70,68.00,19.00,2.25,0.68,2.57,0.22,30.30,0.00,11.00
Deep Bay,DM2,1/3/2018,1,Surface Water,1.80,0.25,4.50,73.00,5.70,150.00,310.00,1.80,0.07,0.10,7.00,3.90,22.80,1.00,4.30,22.00,21.10,2.12,0.70,2.57,0.18,18.80,0.00,3.00
Deep Bay,DM2,11/4/2018,1,Surface Water,3.20,0.21,9.10,88.00,6.50,78.00,160.00,1.50,0.07,0.08,7.60,8.90,20.10,1.00,3.50,18.00,24.30,1.78,0.68,2.25,0.18,28.30,0.00,4.50
Deep Bay,DM2,9/5/2018,1,Surface Water,2.20,0.75,6.50,99.00,7.50,7900.00,31000.00,1.40,0.18,0.14,7.30,5.80,9.70,1.50,2.00,29.00,27.00,2.33,1.30,2.88,0.23,20.80,0.01,8.10
Deep Bay,DM2,15/6/2018,1,Surface Water,1.60,0.75,4.20,40.00,2.90,2000.00,3600.00,0.82,0.55,0.19,6.90,3.00,10.90,0.90,7.20,23.00,28.40,2.12,1.20,2.57,0.20,13.00,0.00,3.10
Deep Bay,DM2,4/7/2018,1,Surface Water,4.20,0.96,2.00,66.00,4.90,7200.00,15000.00,1.10,1.00,0.25,7.30,8.10,4.80,1.30,17.00,92.00,29.70,3.06,1.80,3.90,0.36,66.20,0.02,12.00
Deep Bay,DM2,1/8/2018,1,Surface Water,2.40,0.30,2.70,47.00,3.30,110.00,190.00,0.71,0.89,0.17,7.20,4.20,11.30,1.50,11.00,27.00,31.30,1.90,0.64,2.24,0.31,23.70,0.00,4.30
Deep Bay,DM2,10/9/2018,1,Surface Water,2.10,0.59,1.60,68.00,4.90,930.00,2000.00,1.00,0.55,0.08,7.20,1.20,12.00,1.10,11.00,30.00,28.60,2.14,1.10,2.65,0.20,17.50,0.01,4.20
Deep Bay,DM2,8/10/2018,1,Surface Water,2.70,0.54,7.80,52.00,3.70,660.00,2100.00,1.70,0.39,0.16,7.40,5.90,17.30,1.00,8.80,39.00,27.60,2.63,0.91,3.00,0.24,43.20,0.01,10.00
Deep Bay,DM2,7/11/2018,1,Surface Water,0.90,0.36,2.80,71.00,5.10,18.00,67.00,1.50,0.12,0.15,7.50,2.00,22.30,1.00,5.50,26.00,25.90,1.98,0.57,2.19,0.19,12.20,0.01,4.80
